period,mape
2023-01-02 to 2023-01-15,0.19720457161325555
2023-01-16 to 2023-01-29,0.23546679572882087
2023-01-30 to 2023-02-12,0.14477635637450162
2023-02-13 to 2023-02-26,0.24446926495800014
2023-02-27 to 2023-03-12,0.2976747727361211
2023-03-13 to 2023-03-26,0.2891522410632593
2023-03-27 to 2023-04-09,0.20718542965892328
2023-04-10 to 2023-04-23,0.1570632694307086
2023-04-24 to 2023-05-07,0.11760197497621867
2023-05-08 to 2023-05-21,0.15449514208784199
2023-05-22 to 2023-06-04,0.12698184148641828
2023-06-05 to 2023-06-18,0.1427568054196021
2023-06-19 to 2023-07-02,0.293992055397441
2023-07-03 to 2023-07-16,0.21976357909836422
2023-07-17 to 2023-07-30,0.13799850677843847
2023-07-31 to 2023-08-13,0.15653260895971055
2023-08-14 to 2023-08-27,0.15569422250510537
2023-08-28 to 2023-09-10,0.15555796601608088
2023-09-11 to 2023-09-24,0.1454590326067003
2023-09-25 to 2023-10-08,0.17367679464602367
