Month,Year,Index,
1,2008,78.4,
2,2008,70.8,
3,2008,69.5,
4,2008,62.6,
5,2008,59.8,
6,2008,56.4,
7,2008,61.2,
8,2008,63,
9,2008,70.3,
10,2008,57.6,
11,2008,55.3,
12,2008,60.1,
1,2009,61.2,
2,2009,56.3,
3,2009,57.3,
4,2009,65.1,
5,2009,68.7,
6,2009,70.8,
7,2009,66,
8,2009,65.7,
9,2009,73.5,
10,2009,70.6,
11,2009,67.4,
12,2009,72.5,
1,2010,74.4,
2,2010,73.6,
3,2010,73.6,
4,2010,72.2,
5,2010,73.6,
6,2010,76,
7,2010,67.8,
8,2010,68.9,
9,2010,68.2,
10,2010,67.7,
11,2010,71.6,
12,2010,74.5,
1,2011,74.2,
2,2011,77.5,
3,2011,67.5,
4,2011,69.8,
5,2011,74.3,
6,2011,71.5,
7,2011,63.7,
8,2011,55.8,
9,2011,59.5,
10,2011,60.8,
11,2011,63.7,
12,2011,69.9,
1,2012,75,
2,2012,75.3,
3,2012,76.2,
4,2012,76.4,
5,2012,79.3,
6,2012,73.2,
7,2012,72.3,
8,2012,74.3,
9,2012,78.3,
10,2012,82.6,
11,2012,82.7,
12,2012,72.9,
1,2013,73.8,
2,2013,77.6,
3,2013,78.6,
4,2013,76.4,
5,2013,84.5,
6,2013,84.1,
7,2013,85.1,
8,2013,82.1,
9,2013,77.5,
10,2013,73.2,
11,2013,75.1,
12,2013,82.5,
1,2014,81.2,
2,2014,81.6,
3,2014,80,
4,2014,84.1,
5,2014,81.9,
6,2014,82.5,
7,2014,81.8,
8,2014,82.5,
9,2014,84.6,
10,2014,86.9,
11,2014,88.8,
12,2014,93.6,
1,2015,98.1,
2,2015,95.4,
3,2015,93,
4,2015,95.9,
5,2015,90.7,
6,2015,96.1,
7,2015,93.1,
8,2015,91.9,
9,2015,87.2,
10,2015,90,
11,2015,91.3,
12,2015,92.6,
1,2016,92,
2,2016,91.7,
3,2016,91,
4,2016,89,
5,2016,94.7,
6,2016,93.5,
7,2016,90,
8,2016,89.8,
9,2016,91.2,
10,2016,87.2,
11,2016,93.8,
12,2016,98.2,
1,2017,98.5,
2,2017,96.3,
3,2017,96.9,
4,2017,97,
5,2017,97.1,
6,2017,95,
7,2017,93.4,
8,2017,96.8,
9,2017,95.1,
10,2017,100.7,
11,2017,98.5,
12,2017,95.9,
1,2018,95.7,
2,2018,99.7,
3,2018,101.4,
4,2018,98.8,
5,2018,98,
6,2018,98.2,
7,2018,97.9,
8,2018,96.2,
9,2018,100.1,
10,2018,98.6,
11,2018,97.5,
12,2018,98.3,
1,2019,91.2,
2,2019,93.8,
3,2019,98.4,
4,2019,97.2,
5,2019,100,
6,2019,98.2,
7,2019,98.4,
8,2019,89.8,
9,2019,93.2,
10,2019,95.5,
11,2019,96.8,
12,2019,99.3,
1,2020,99.8,
2,2020,101,
3,2020,89.1,
4,2020,71.8,
5,2020,72.3,
6,2020,78.1,
7,2020,72.5,
8,2020,74.1,
9,2020,80.4,
10,2020,81.8,
11,2020,76.9,
12,2020,80.7,
1,2021,79,
2,2021,76.8,
3,2021,84.9,
4,2021,88.3,
5,2021,82.9,
6,2021,85.5,
7,2021,81.2,
8,2021,70.3,
9,2021,72.8,
10,2021,71.7,
11,2021,67.4,
12,2021,70.6,
1,2022,67.2,
2,2022,62.8,
3,2022,59.4,
4,2022,65.2,
5,2022,58.4,
6,2022,50,
7,2022,51.5,
8,2022,58.2,
9,2022,58.6,
10,2022,59.9,
11,2022,56.7,
12,2022,59.8,
1,2023,64.9,
2,2023,66.9,
3,2023,62,
4,2023,63.7,
5,2023,59,
6,2023,64.2,
7,2023,71.5,
8,2023,69.4,
9,2023,67.9,
10,2023,63.8,
